time,x,y,z
11.250,-0.02,0.07,-0.06
11.271,-0.06,0.06,-0.05
11.290,-0.03,0.08,-0.04
11.311,-0.03,0.07,-0.06
11.331,-0.05,0.03,-0.05
11.351,-0.02,0.06,-0.06
11.370,-0.04,0.05,-0.05
11.390,-0.05,0.05,-0.06
11.410,-0.02,0.07,-0.03
11.431,-0.04,0.07,-0.05
11.450,-0.04,0.04,-0.04
11.470,-0.03,0.06,-0.04
11.490,-0.04,0.06,-0.05
11.510,-0.04,0.06,-0.07
11.530,-0.01,0.06,-0.05
11.549,-0.06,0.03,-0.04
11.570,-0.00,0.06,-0.05
11.590,-0.05,0.07,-0.07
11.610,-0.04,0.08,-0.02
11.632,-0.03,0.05,-0.06
11.649,-0.03,0.05,-0.04
11.671,-0.03,0.04,-0.01
11.690,-0.06,0.08,-0.08
11.710,-0.04,0.09,-0.07
11.731,-0.03,0.04,-0.04
11.751,-0.03,0.06,-0.04
11.770,-0.03,0.05,-0.06
11.790,-0.04,0.04,-0.02
11.810,-0.02,0.08,-0.06
11.830,-0.06,0.07,-0.06
11.851,-0.04,0.05,-0.01
11.872,-0.03,0.06,-0.05
11.890,-0.02,0.04,-0.02
11.912,-0.05,0.06,-0.07
11.930,-0.05,0.05,-0.06
11.953,-0.03,0.07,-0.05
11.970,-0.04,0.06,-0.07
11.990,-0.04,0.07,-0.05
12.011,-0.03,0.05,-0.04
12.031,-0.04,0.04,-0.06
12.052,-0.03,0.07,-0.07
12.071,-0.04,0.04,-0.04
12.091,-0.03,0.05,-0.03
12.111,-0.04,0.05,-0.06
12.131,-0.02,0.04,-0.03
12.152,-0.04,0.06,-0.06
12.172,-0.03,0.06,-0.06
12.191,-0.03,0.05,-0.04
12.212,-0.04,0.04,-0.05
12.230,-0.02,0.06,-0.03
12.252,-0.02,0.06,-0.05
12.271,-0.05,0.05,-0.05
12.291,-0.03,0.06,-0.06
12.312,-0.03,0.04,-0.03
12.331,-0.02,0.06,-0.06
12.352,-0.02,0.05,-0.06
12.372,-0.03,0.04,-0.02
12.392,-0.02,0.05,-0.05
12.412,-0.03,0.05,-0.06
12.431,-0.04,0.06,-0.05
12.452,-0.03,0.06,-0.05
12.472,-0.03,0.05,-0.05
12.492,-0.04,0.05,-0.03
12.512,-0.03,0.04,-0.05
12.532,-0.04,0.05,-0.06
12.553,-0.03,0.05,-0.05
12.572,-0.04,0.04,-0.04
12.592,-0.04,0.04,-0.04
12.613,-0.04,0.06,-0.06
12.633,-0.01,0.04,-0.05
12.652,-0.02,0.05,-0.05
12.673,-0.02,0.06,-0.06
12.692,-0.03,0.07,-0.03
12.713,-0.04,0.04,-0.05
12.733,-0.03,0.04,-0.04
12.753,-0.03,0.07,-0.06
12.772,-0.03,0.07,-0.04
12.792,-0.03,0.04,-0.06
12.816,-0.02,0.06,-0.06
12.832,-0.03,0.06,-0.05
12.853,-0.03,0.07,-0.06
12.873,-0.01,0.07,-0.05
12.892,-0.05,0.03,-0.06
